index,gen
169,aph(3')-Ia
169,aph(6)-Id
169,blaACT-45
169,blaKPC-3
169,blaOXA-9
169,blaSHV-12
169,blaTEM-1
169,blaTEM
169,dfrA14
169,fosA
169,oqxA
169,oqxB
169,sul2
170,aac(6')-Ib
170,aadA1
170,aph(3'')-Ib
170,aph(3')-Ia
170,aph(6)-Id
170,blaACT-45
170,blaKPC-3
170,blaOXA-9
170,blaSHV-12
170,blaTEM-1
170,blaTEM
170,dfrA14
170,fosA
170,oqxA
170,oqxB
170,sul2
171,aac(6')-Ib'
171,aadA1
171,aph(3'')-Ib
171,aph(3')-Ia
171,aph(6)-Id
171,blaACT-45
171,blaACT
171,blaKPC-3
171,blaKPC
171,blaOXA-9
171,blaTEM-1
171,blaTEM
171,dfrA14
171,fosA
171,oqxA
171,oqxB
171,sul2
172,aac(6')-Ib
172,aadA1
172,aph(3'')-Ib
172,aph(3')-Ia
172,aph(6)-Id
172,blaACT-45
172,blaKPC-3
172,blaOXA-9
172,blaSHV-12
172,blaTEM-1
172,blaTEM
172,dfrA14
172,fosA
172,oqxA
172,oqxB
172,sul2
173,aac(6')-Ib'
173,aadA1
173,aph(3'')-Ib
173,aph(3')-Ia
173,aph(6)-Id
173,blaACT-45
173,blaKPC-3
173,blaOXA-9
173,blaSHV-12
173,blaTEM-1
173,catA
173,dfrA14
173,fosA
173,oqxB
173,sul2
174,aadA1
174,blaACT-17
174,blaKPC-2
174,blaTEM-1
174,floR2
174,fosA
174,oqxA
174,oqxB
174,sul1
174,tet(G)
175,aac(3)-IIe
175,aac(6')-Ib-cr5
175,aadA2
175,aadA5
175,aph(3'')-Ib
175,aph(3')-Ia
175,aph(6)-Id
175,blaCTX-M-15
175,blaDHA-13
175,blaNDM-1
175,blaOXA-1
175,blaTEM-1
175,ble
175,catA1
175,dfrA12
175,dfrA17
175,mph(A)
175,sul1
175,sul2
175,tet(B)
176,aac(6')-Ib
176,aadA1
176,aadA2
176,ant(2'')-Ia
176,aph(3'')-Ib
176,aph(3')-Ia
176,aph(6)-Id
176,blaACT-25
176,blaNDM-1
176,blaSHV-12
176,blaSHV-7
176,blaTEM-1
176,ble
176,catA1
176,catA
176,dfrA19
176,dfrA8
176,fosA
176,mcr-9.1
176,oqxB
176,qnrB2
176,qnrS1
176,sul1
177,aac(6')-Ib
177,aadA1
177,aadA2
177,aph(3'')-Ib
177,aph(3')-Ia
177,aph(6)-Id
177,blaACT-25
177,blaNDM-1
177,blaSHV-12
177,blaTEM-1
177,ble
177,catA1
177,catA
177,dfrA19
177,dfrA8
177,fosA
177,mcr-9.1
177,oqxB
177,qnrB2
177,sul1
178,aac(3)-II
178,aac(3)-IIg
178,aac(6')-IIc
178,aac(6')-Ib'
178,aadA1
178,aadA2
178,aph(3'')-Ib
178,aph(3')-Ia
178,arr
178,blaACT-16
178,blaKPC-3
178,blaOXA-9
178,blaSHV-7
178,blaTEM-1
178,catA
178,dfrA19
178,fosA
178,mcr-9
178,oqxB
178,qnrB2
178,sul1
178,sul2
178,tet(D)
179,aac(3)-II
179,aac(3)-IIg
179,aac(6')-IIc
179,aac(6')-Ib'
179,aadA1
179,aadA2
179,aph(3'')-Ib
179,aph(3')-Ia
179,aph(6)-Id
179,arr
179,blaACT-16
179,blaKPC-3
179,blaOXA-9
179,blaSHV-7
179,blaTEM-1
179,catA
179,dfrA19
179,fosA
179,oqxB
179,sul1
179,sul2
179,tet(D)
180,aac(3)-II
180,aac(6')-Ib'
180,aadA1
180,aadA2
180,aph(3'')-Ib
180,aph(3')-Ia
180,aph(6)-Id
180,blaACT-16
180,blaKPC-3
180,blaOXA-9
180,blaSHV-7
180,blaTEM-1
180,catA
180,dfrA19
180,fosA
180,mcr-9.1
180,oqxB
180,qnrB2
180,sul1
180,tet(D)
181,aac(6')-Ib'
181,aadA1
181,aph(3'')-Ib
181,aph(3')-Ia
181,aph(6)-Id
181,blaACT-45
181,blaKPC-3
181,blaOXA-9
181,blaTEM-1
181,blaTEM
181,catA
181,dfrA14
181,fosA
181,oqxB
181,sul2
182,aadA1
182,aph(3'')-Ib
182,aph(6)-Id
182,blaACT-45
182,blaKPC-4
182,blaOXA-129
182,catA
182,dfrA21
182,fosA
182,mcr-9.1
182,oqxB
182,sul1
182,tet(B)
183,aac(6')-30
183,aadA1
183,aadA2
183,ant(2'')-Ia
183,aph(3'')-Ib
183,aph(6)-Id
183,blaACT-45
183,blaIMP-13
183,blaKPC-4
183,blaOXA-129
183,catA
183,cmlA10
183,dfrA21
183,fosA
183,mcr-9.1
183,mph(A)
183,oqxB
183,sul1
183,tet(B)
184,aph(3'')-Ib
184,aph(6)-Id
184,blaMIR-12
184,catA
184,fosA
184,oqxB
185,aph(3'')-Ib
185,aph(6)-Id
185,blaMIR-12
185,catA
185,fosA
185,oqxB
186,aph(3'')-Ib
186,aph(6)-Id
186,blaMIR-12
186,catA
186,fosA
186,oqxB
187,aph(3'')-Ib
187,aph(6)-Id
187,blaMIR-12
187,catA
187,fosA
187,oqxB
188,aph(3'')-Ib
188,aph(6)-Id
188,blaMIR-12
188,catA
188,fosA
188,oqxB
189,aph(3'')-Ib
189,aph(6)-Id
189,blaMIR-12
189,catA
189,fosA
189,oqxB
190,aadA2
190,aph(3'')-Ib
190,aph(6)-Id
190,blaACT-25
190,blaKPC-2
190,blaLAP-2
190,blaTEM-1
190,catA2
190,dfrA12
190,fosA
190,mph(A)
190,oqxA
190,oqxB
190,qnrS1
190,sul1
190,tet(A)
191,aac(6')-Ib'
191,aadA1
191,aph(3')-Ia
191,blaACT-45
191,blaKPC-3
191,catA
191,dfrA14
191,fosA
191,oqxB
192,aac(3)-IId
192,aac(3)
192,aac(6')-Ib
192,aadA1
192,aadA2
192,armA
192,blaACT-17
192,blaCTX-M-15
192,blaLAP-2
192,blaNDM-1
192,blaOXA-1
192,blaOXA-9
192,blaTEM
192,ble
192,catA
192,dfrA12
192,floR2
192,floR
192,fosA
192,mph(E)
192,msr(E)
192,oqxB
192,qnrS1
192,rmtB4
192,sul1
192,tet(G)
193,aac(3)-IId
193,aac(3)
193,aac(6')-Ib-cr5
193,aac(6')-Ib
193,aadA1
193,aadA2
193,armA
193,blaACT-17
193,blaCTX-M-15
193,blaLAP-2
193,blaNDM-1
193,blaOXA-1
193,blaOXA-9
193,blaTEM-1
193,ble
193,catA
193,dfrA12
193,floR2
193,floR
193,fosA
193,mph(E)
193,msr(E)
193,oqxB
193,qnrS1
193,rmtB4
193,sul1
193,tet(G)
194,aac(3)-IId
194,aac(6')-Ib-cr5
194,aac(6')-Ib
194,aadA1
194,aadA2
194,armA
194,blaACT-17
